Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,asymmetric,0.31,0.30289965740544944
100% Corpus,4,asymmetric,0.61,0.36681370666194224
100% Corpus,4,asymmetric,0.9099999999999999,0.3184304790087973
100% Corpus,4,asymmetric,symmetric,0.37300086347884
100% Corpus,5,0.01,0.01,0.2861239021265532
100% Corpus,5,0.01,0.31,0.33262256868884077
100% Corpus,5,0.01,0.61,0.4120282691407759
100% Corpus,5,0.01,0.9099999999999999,0.3756971023702159
100% Corpus,5,0.01,symmetric,0.3219302940513704
100% Corpus,5,0.31,0.01,0.26834493152093625
100% Corpus,5,0.31,0.31,0.2768945965254252
100% Corpus,5,0.31,0.61,0.35607515095187287
100% Corpus,5,0.31,0.9099999999999999,0.4031562714457883
100% Corpus,5,0.31,symmetric,0.3234839393840783
100% Corpus,5,0.61,0.01,0.28075329546319994
100% Corpus,5,0.61,0.31,0.28514146398368945
100% Corpus,5,0.61,0.61,0.30573734743333664
100% Corpus,5,0.61,0.9099999999999999,0.31566316935721667
100% Corpus,5,0.61,symmetric,0.30172047020206555
100% Corpus,5,0.9099999999999999,0.01,0.2667443708447371
100% Corpus,5,0.9099999999999999,0.31,0.2904568224731574
100% Corpus,5,0.9099999999999999,0.61,0.3099053248778049
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.32488531745164817
100% Corpus,5,0.9099999999999999,symmetric,0.30571287168354655
100% Corpus,5,symmetric,0.01,0.28554843598810187
100% Corpus,5,symmetric,0.31,0.2977878772968573
100% Corpus,5,symmetric,0.61,0.32327304772508647
100% Corpus,5,symmetric,0.9099999999999999,0.36823638065754183
100% Corpus,5,symmetric,symmetric,0.317989228512106
100% Corpus,5,asymmetric,0.01,0.2840986394050346
100% Corpus,5,asymmetric,0.31,0.3558585996854563
100% Corpus,5,asymmetric,0.61,0.37554849070755225
100% Corpus,5,asymmetric,0.9099999999999999,0.4252444924601697
100% Corpus,5,asymmetric,symmetric,0.2876844326394547
100% Corpus,6,0.01,0.01,0.2850307254301155
100% Corpus,6,0.01,0.31,0.3385767207687551
100% Corpus,6,0.01,0.61,0.3592796256787854
100% Corpus,6,0.01,0.9099999999999999,0.4162926558148043
100% Corpus,6,0.01,symmetric,0.28995711266026303
100% Corpus,6,0.31,0.01,0.2991957405189338
100% Corpus,6,0.31,0.31,0.3221878179068132
100% Corpus,6,0.31,0.61,0.36447894396786246
100% Corpus,6,0.31,0.9099999999999999,0.3921129916720667
100% Corpus,6,0.31,symmetric,0.29810578842457347
100% Corpus,6,0.61,0.01,0.29744467074831804
100% Corpus,6,0.61,0.31,0.315917760271578
100% Corpus,6,0.61,0.61,0.3319328143161737
100% Corpus,6,0.61,0.9099999999999999,0.3452904181780936
100% Corpus,6,0.61,symmetric,0.2912775258740717
100% Corpus,6,0.9099999999999999,0.01,0.2713150535089578
100% Corpus,6,0.9099999999999999,0.31,0.2890278940117503
100% Corpus,6,0.9099999999999999,0.61,0.32159074267979015
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.3611894049114106
100% Corpus,6,0.9099999999999999,symmetric,0.3353865065918382
100% Corpus,6,symmetric,0.01,0.3340234779435658
100% Corpus,6,symmetric,0.31,0.30829017904692396
100% Corpus,6,symmetric,0.61,0.3558487753296327
100% Corpus,6,symmetric,0.9099999999999999,0.38886525154618873
100% Corpus,6,symmetric,symmetric,0.3196406270562949
100% Corpus,6,asymmetric,0.01,0.30945741855867653
100% Corpus,6,asymmetric,0.31,0.34538761889843445
100% Corpus,6,asymmetric,0.61,0.4395793177884924
100% Corpus,6,asymmetric,0.9099999999999999,0.4056742982857382
100% Corpus,6,asymmetric,symmetric,0.33980484901260716
100% Corpus,7,0.01,0.01,0.2790385627717097
100% Corpus,7,0.01,0.31,0.32096516498467914
100% Corpus,7,0.01,0.61,0.4130947408404027
100% Corpus,7,0.01,0.9099999999999999,0.4309640610629903
100% Corpus,7,0.01,symmetric,0.3323568101393358
100% Corpus,7,0.31,0.01,0.3287567390728355
100% Corpus,7,0.31,0.31,0.2835146571831995
100% Corpus,7,0.31,0.61,0.382140760458903
100% Corpus,7,0.31,0.9099999999999999,0.39411190732550627
100% Corpus,7,0.31,symmetric,0.33359749790014753
100% Corpus,7,0.61,0.01,0.28332305729904256
100% Corpus,7,0.61,0.31,0.31543865496421636
100% Corpus,7,0.61,0.61,0.31668093778996026
100% Corpus,7,0.61,0.9099999999999999,0.33946641728211946
100% Corpus,7,0.61,symmetric,0.29528611390589593
100% Corpus,7,0.9099999999999999,0.01,0.32988134108228884
100% Corpus,7,0.9099999999999999,0.31,0.3278839253708031
100% Corpus,7,0.9099999999999999,0.61,0.33512045599090085
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.3561468181769896
100% Corpus,7,0.9099999999999999,symmetric,0.3290833173456383
100% Corpus,7,symmetric,0.01,0.28912380373933283
100% Corpus,7,symmetric,0.31,0.31652720332782774
100% Corpus,7,symmetric,0.61,0.4355554309996782
100% Corpus,7,symmetric,0.9099999999999999,0.43803868326665063
100% Corpus,7,symmetric,symmetric,0.29790940184247366
100% Corpus,7,asymmetric,0.01,0.33419965429247267
100% Corpus,7,asymmetric,0.31,0.37220384782577337
100% Corpus,7,asymmetric,0.61,0.4351922923612817
100% Corpus,7,asymmetric,0.9099999999999999,0.41320882273425663
100% Corpus,7,asymmetric,symmetric,0.4237237440036507
100% Corpus,8,0.01,0.01,0.32678984675449496
100% Corpus,8,0.01,0.31,0.3645114440373779
100% Corpus,8,0.01,0.61,0.4179464860058618
100% Corpus,8,0.01,0.9099999999999999,0.4102297788710482
100% Corpus,8,0.01,symmetric,0.35643571880800273
100% Corpus,8,0.31,0.01,0.3398668656778522
100% Corpus,8,0.31,0.31,0.29292069770783286
100% Corpus,8,0.31,0.61,0.36347550971915077
100% Corpus,8,0.31,0.9099999999999999,0.39006936533346803
100% Corpus,8,0.31,symmetric,0.329727016875903
100% Corpus,8,0.61,0.01,0.34607143889185243
100% Corpus,8,0.61,0.31,0.36952813875994067
100% Corpus,8,0.61,0.61,0.3326437560638018
100% Corpus,8,0.61,0.9099999999999999,0.3356464810611491
100% Corpus,8,0.61,symmetric,0.32011353163627704
100% Corpus,8,0.9099999999999999,0.01,0.3301423089708212
100% Corpus,8,0.9099999999999999,0.31,0.33804133261355296
100% Corpus,8,0.9099999999999999,0.61,0.3505263823317309
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.37678983128573207
100% Corpus,8,0.9099999999999999,symmetric,0.3434625327155349
100% Corpus,8,symmetric,0.01,0.31969254080403475
100% Corpus,8,symmetric,0.31,0.3789686237627467
100% Corpus,8,symmetric,0.61,0.42388621790082914
100% Corpus,8,symmetric,0.9099999999999999,0.4181510619934473
100% Corpus,8,symmetric,symmetric,0.3325191492686542
100% Corpus,8,asymmetric,0.01,0.3475747004603029
100% Corpus,8,asymmetric,0.31,0.4135821921595939
100% Corpus,8,asymmetric,0.61,0.4153666708805335
100% Corpus,8,asymmetric,0.9099999999999999,0.4156642536005339
100% Corpus,8,asymmetric,symmetric,0.369768478992268
100% Corpus,9,0.01,0.01,0.32220065118334906
100% Corpus,9,0.01,0.31,0.3466305152828152
100% Corpus,9,0.01,0.61,0.39197423170398826
100% Corpus,9,0.01,0.9099999999999999,0.40882282584282925
100% Corpus,9,0.01,symmetric,0.334600855098317
100% Corpus,9,0.31,0.01,0.33231581051394127
100% Corpus,9,0.31,0.31,0.34988657764216285
100% Corpus,9,0.31,0.61,0.34200701166139
